attendance_pct,assignment_score,quiz_score,midterm_score,study_hours,final_score,pass_fail
87.57,82.89,34.34,75.39,25.44,62.19,1
69.14,92.62,62.08,97.04,13.95,72.28,1
92.22,94.87,39.03,52.82,28.64,66.32,1
83.36,67.74,40.66,56.88,19.87,61.41,1
50.18,68.82,74.26,85.91,4.36,60.14,1
98.66,86.99,57.5,62.93,26.67,65.41,1
86.86,55.44,94.53,80.24,15.19,75.36,1
88.23,89.43,52.34,59.48,5.11,56.15,1
52.05,67.12,80.83,41.16,5.43,49.07,0
69.77,42.53,62.28,80.89,20.94,61.48,1
65.39,39.68,76.2,34.84,2.37,50.2,1
95.97,89.73,71.98,39.89,9.31,58.15,1
80.41,38.61,63.09,72.01,5.05,44.62,0
90.25,53.24,96.5,81.05,13.79,60.85,1
69.39,56.72,53.99,92.1,13.02,56.92,1
57.5,46.24,42.41,45.44,16.13,37.36,0
75.5,55.4,77.47,33.3,9.11,49.97,0
48.51,83.28,89.22,96.7,1.93,64.29,1
90.52,35.95,32.82,36.58,18.82,39.34,0
79.74,88.77,61.47,39.83,11.84,53.22,1
86.69,90.68,92.47,46.85,19.89,66.3,1
64.5,59.2,82.47,64.7,4.15,66.73,1
98.39,44.98,99.43,91.21,1.4,75.44,1
94.12,74.05,67.2,82.04,8.2,69.78,1
87.81,42.78,76.2,78.11,14.24,62.33,1
55.71,58.72,51.17,38.14,12.43,43.28,0
70.67,97.3,96.33,51.83,24.5,72.09,1
47.41,99.71,55.64,60.88,11.96,63.9,1
53.49,85.19,81.7,36.06,16.38,52.02,1
82.57,55.21,58.22,45.51,18.21,54.19,1
85.96,79.7,69.33,48.12,1.63,45.49,0
98.21,80.85,80.38,34.55,15.94,63.86,1
62.92,60.21,65.63,66.27,11.0,62.69,1
65.38,76.66,93.5,77.88,13.22,69.88,1
70.83,35.7,59.35,30.24,3.91,50.9,1
55.42,48.59,75.3,61.08,23.7,51.38,1
52.15,69.13,53.97,83.67,28.33,64.1,1
71.16,45.64,58.57,81.1,1.65,56.18,1
57.48,45.78,60.8,86.13,18.44,60.43,1
81.84,89.36,38.81,58.62,23.15,60.06,1
69.04,99.29,36.42,86.54,9.26,67.16,1
90.8,71.14,76.72,43.06,23.84,66.45,1
83.51,89.54,75.89,52.06,19.34,74.75,1
62.18,99.37,76.4,38.23,27.95,61.19,1
90.77,44.2,31.38,60.06,29.45,56.89,1
89.26,64.14,52.86,54.4,2.23,49.63,0
66.31,60.52,43.85,43.07,13.9,52.92,1
60.86,40.2,84.47,81.38,16.86,59.16,1
82.54,84.1,90.24,48.54,5.26,70.09,1
52.69,63.2,47.27,45.46,10.75,60.45,1
55.99,65.51,76.75,34.82,29.64,51.81,1
45.4,44.79,39.06,57.91,1.47,28.28,0
88.28,46.76,49.26,47.72,14.12,48.14,0
81.57,93.96,39.71,52.7,25.44,67.42,1
83.78,37.9,49.85,42.7,10.39,49.68,0
87.94,50.14,77.23,82.24,14.91,69.75,1
70.24,53.98,93.72,94.75,29.36,79.8,1
76.28,66.86,44.18,62.34,14.77,60.13,1
52.69,73.12,67.95,73.22,4.8,66.97,1
51.3,67.06,79.1,90.04,2.5,70.28,1
81.76,40.47,96.7,99.91,28.42,84.05,1
70.91,50.84,72.7,71.01,8.71,61.68,1
76.09,89.83,47.86,91.73,15.62,77.06,1
87.07,76.44,73.78,93.15,3.63,70.41,1
79.91,77.19,52.43,84.36,13.29,64.0,1
75.45,78.56,98.33,59.57,27.97,80.06,1
75.76,84.59,57.98,31.09,15.57,55.64,1
61.72,38.78,77.98,26.19,29.16,50.54,1
46.69,58.83,31.63,60.79,8.51,46.88,0
69.02,70.07,58.0,62.07,15.63,56.23,1
56.8,57.0,91.26,55.55,25.93,60.15,1
67.47,89.89,72.72,67.61,14.0,76.16,1
91.94,66.37,61.08,66.41,9.11,65.54,1
57.87,84.96,95.52,87.75,25.81,66.08,1
48.21,90.38,89.78,33.15,12.31,55.98,1
60.48,67.81,52.56,41.89,16.39,61.65,1
61.15,94.12,68.12,84.48,29.32,70.93,1
81.41,73.16,64.29,88.59,6.41,57.59,1
75.64,90.27,74.25,99.61,9.74,88.71,1
88.11,57.14,53.39,90.47,1.9,67.18,1
81.54,67.42,47.09,91.74,12.36,66.32,1
67.35,69.54,93.89,48.58,6.81,57.38,1
89.77,41.82,94.67,55.12,20.72,69.05,1
54.18,60.91,89.03,45.11,6.26,50.46,1
46.25,94.63,98.47,70.47,20.57,78.84,1
49.95,76.0,82.15,95.41,8.64,73.85,1
84.73,46.54,83.53,50.85,11.3,59.17,1
70.4,57.03,83.38,66.78,11.12,63.22,1
53.87,47.45,63.64,47.22,21.79,48.67,0
72.56,36.61,61.95,37.73,14.53,52.99,1
53.38,95.28,46.82,39.64,11.48,46.91,0
83.3,64.13,75.14,29.35,25.73,44.67,0
69.54,54.99,50.25,96.2,17.59,69.27,1
65.96,73.9,48.05,55.22,7.2,57.01,1
61.58,35.48,71.02,87.56,27.1,64.94,1
79.67,53.07,58.7,76.1,10.94,63.19,1
64.9,80.7,45.32,39.39,2.13,45.54,0
49.82,76.2,87.12,38.16,15.34,61.37,1
51.49,98.82,90.24,85.9,4.59,72.55,1
97.9,75.32,41.74,44.85,7.92,51.24,1
94.97,66.04,30.53,93.5,22.67,64.99,1
83.48,84.49,53.53,35.5,4.79,64.48,1
59.62,93.72,85.83,75.83,24.4,62.44,1
98.3,81.85,88.74,86.09,28.17,82.94,1
87.83,97.61,39.68,42.64,18.59,48.6,0
84.43,85.83,84.2,45.72,21.6,64.99,1
69.71,91.34,38.1,97.34,21.69,68.2,1
59.97,42.42,57.3,44.84,29.79,35.13,0
50.3,82.61,99.9,57.25,10.9,67.15,1
94.64,63.61,43.48,57.44,5.72,52.45,1
70.07,70.95,40.78,43.98,16.06,38.7,0
56.13,77.52,59.6,83.18,16.46,71.08,1
61.83,98.04,73.38,82.89,6.16,79.07,1
76.86,99.0,95.3,53.37,18.78,80.59,1
54.72,53.73,98.66,87.63,1.41,67.6,1
92.11,82.69,34.87,40.98,27.9,55.15,1
86.72,83.75,39.66,25.32,8.67,56.12,1
84.57,57.52,85.35,67.84,2.15,72.41,1
68.77,43.05,48.94,99.56,4.14,66.75,1
79.5,37.66,91.94,27.9,7.97,43.19,0
77.13,85.53,76.44,40.6,8.94,60.3,1
80.74,66.83,37.83,63.92,1.95,55.5,1
49.64,99.06,88.28,85.75,9.1,62.78,1
67.87,65.22,42.34,31.68,6.6,46.19,0
47.29,98.56,59.64,54.64,11.98,72.72,1
72.17,61.75,68.65,81.03,12.17,69.07,1
63.14,86.59,65.05,52.87,10.83,68.07,1
52.95,40.51,78.03,39.16,10.51,47.97,0
50.69,71.11,75.69,39.66,3.6,49.61,0
77.32,87.13,99.44,55.75,1.73,68.5,1
54.38,95.11,99.96,60.96,6.86,62.83,1
95.88,88.47,66.15,89.64,22.94,71.66,1
76.96,37.4,36.66,73.17,29.73,61.16,1
64.08,59.23,80.95,76.78,27.93,74.16,1
77.5,38.17,98.37,98.72,15.62,67.76,1
46.25,42.1,52.28,55.89,16.42,53.64,1
97.72,78.89,62.28,55.25,10.12,62.29,1
71.53,81.36,59.73,94.25,23.44,74.51,1
88.05,85.29,33.6,43.44,23.18,58.03,1
49.55,91.25,77.06,79.74,25.48,76.23,1
71.77,83.06,54.73,81.59,26.97,68.55,1
71.99,87.06,85.12,32.33,13.6,67.88,1
96.58,38.18,88.25,60.12,23.24,64.91,1
76.45,50.24,87.49,40.04,24.39,60.02,1
71.04,75.42,59.17,38.9,9.95,47.53,0
59.68,90.78,52.51,59.79,27.95,73.75,1
63.24,35.29,82.42,46.71,3.74,51.09,1
73.64,68.45,86.1,84.7,29.83,76.89,1
69.14,79.02,64.39,93.07,23.33,62.58,1
46.19,36.92,92.51,85.2,3.7,54.66,1
90.45,61.09,40.07,44.95,20.03,59.96,1
94.29,93.22,91.53,45.56,1.99,67.14,1
52.71,78.65,36.73,44.1,23.34,37.98,0
75.47,50.45,40.75,35.13,24.18,51.58,1
50.97,90.43,67.37,95.78,18.47,69.93,1
81.97,57.62,34.73,55.15,25.85,61.03,1
60.47,90.47,33.7,41.85,3.84,47.2,0
81.27,54.43,30.04,88.5,9.0,59.83,1
84.98,73.37,60.54,54.94,13.01,67.38,1
87.28,60.8,84.22,27.63,2.23,45.74,0
50.93,52.86,32.44,37.15,14.0,34.51,0
95.38,92.63,75.66,72.94,8.69,71.54,1
57.66,47.19,87.62,83.72,12.39,69.78,1
47.06,40.51,41.76,40.82,13.33,32.17,0
75.52,57.23,40.28,93.8,26.5,54.21,1
65.4,81.65,90.26,88.82,8.84,78.7,1
90.64,87.48,87.62,88.63,26.92,76.84,1
89.45,99.92,67.73,42.07,13.35,61.62,1
62.44,54.26,87.34,28.79,10.51,38.65,0
97.41,61.52,36.49,90.06,15.57,62.3,1
61.0,43.89,57.61,47.94,13.11,48.11,0
73.33,72.37,81.65,71.42,8.46,71.6,1
59.08,99.84,48.02,82.0,15.58,63.55,1
96.48,80.56,82.66,34.62,5.4,69.23,1
54.05,73.69,65.29,83.56,11.21,60.56,1
47.47,60.5,82.52,95.39,17.41,65.49,1
68.93,94.49,62.53,79.63,12.99,79.14,1
99.58,67.3,55.75,58.09,24.89,63.49,1
94.04,43.73,45.34,90.75,8.44,58.62,1
86.17,58.75,44.59,64.56,29.12,57.28,1
93.99,39.37,82.6,80.86,23.76,76.12,1
94.14,48.13,38.32,86.54,29.06,71.42,1
73.54,36.15,36.02,81.2,25.31,50.17,1
62.38,64.46,42.34,46.59,5.12,46.13,0
87.46,76.25,42.27,33.84,16.27,52.77,1
81.39,57.31,87.62,42.88,5.93,50.1,1
65.55,62.32,57.9,62.72,24.73,57.61,1
50.2,97.35,99.33,62.9,17.94,71.02,1
86.07,83.88,39.6,68.7,8.64,67.91,1
59.44,70.16,75.75,54.63,27.96,66.98,1
96.52,53.5,61.41,84.02,4.34,62.12,1
58.25,93.3,57.5,93.49,17.35,70.91,1
51.75,50.28,91.26,43.5,21.91,58.36,1
90.71,56.15,98.29,80.24,2.71,65.95,1
53.43,94.09,91.1,75.85,18.34,76.59,1
54.86,69.42,43.46,64.23,24.66,54.8,1
77.97,83.25,45.46,39.14,2.96,44.34,0
93.1,73.4,75.93,84.64,15.86,68.71,1
55.8,77.47,50.24,97.05,8.5,74.51,1
62.07,54.46,81.43,79.14,20.22,64.54,1
87.76,50.69,69.65,93.84,4.44,76.69,1
98.45,55.96,68.56,98.81,28.17,71.49,1
72.54,45.1,88.0,51.4,26.95,59.92,1
